35,35.0
90,90.0
6,6.0
1,1.0
61,56.0
14,14.0
1,1.0
14,14.0
15,15.0
1,1.0
61,56.0
60,60.0
30,28.0
60,60.0
14,14.0
61,56.0
14,14.0
15,15.0
75,70.0
60,60.0
6,6.0
15,15.0
14,14.0
20,20.0
75,70.0
54,52.5
20,20.0
30,28.0
54,52.5
61,56.0
75,70.0
15,15.0
60,60.0
61,56.0
14,14.0
6,6.0
35,35.0
35,35.0
20,20.0
60,60.0
6,6.0
40,35.0
30,28.0
66,63.0
96,93.33333333333333
21,21.0
21,21.0
14,14.0
14,14.0
30,28.0
21,21.0
30,30.0
75,70.0
61,56.0
75,70.0
30,28.0
60,60.0
40,35.0
35,35.0
54,52.5
21,21.0
14,14.0
30,28.0
14,14.0
30,30.0
48,46.666666666666664
21,21.0
96,93.33333333333333
66,63.0
21,21.0
14,14.0
30,30.0
14,14.0
15,15.0
96,93.33333333333333
35,35.0
75,70.0
66,63.0
6,6.0
54,52.5
6,6.0
54,52.5
35,35.0
15,15.0
40,35.0
54,52.5
